OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length
2927,37,119,005512,3,371190055123,Block Group 3,"Block Group 3, Census Tract 55.12, Mecklenburg County, North Carolina",141600,623,7,0,19,8,0,0,0,0,0,7,0,32,6,102,196,123,86,37,0,0,0,0,0,0,0,0,397,1246,f3802f17-3006-495c-9d6c-49cb6802532a,18970804.5756836,21298.4392217226
2928,37,119,006007,1,371190060071,Block Group 1,"Block Group 1, Census Tract 60.07, Mecklenburg County, North Carolina",161300,835,0,31,0,0,0,0,0,0,0,0,0,0,31,83,144,285,108,68,85,0,0,0,0,0,0,0,338,1267,4749e1f5-d08f-4860-8ed4-54858c0c9e46,51988493.4102783,33459.5355163436
2929,37,119,005829,1,371190058291,Block Group 1,"Block Group 1, Census Tract 58.29, Mecklenburg County, North Carolina",225800,68,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,33,18,0,0,0,0,0,0,0,343,1075,eae605fe-c4f6-4400-ac00-7ec8d33894ec,20441882.6065674,24247.798905541
2930,37,119,005605,2,371190056052,Block Group 2,"Block Group 2, Census Tract 56.05, Mecklenburg County, North Carolina",140500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,17,7,0,0,0,0,0,0,0,0,0,717,1135,41c06b64-a004-4ef8-96bf-c7c1f2bbed7d,8798652.15917969,13521.4881052682
2931,37,119,003400,2,371190034002,Block Group 2,"Block Group 2, Census Tract 34, Mecklenburg County, North Carolina",639100,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,73,0,80,52,59,13,0,143,1672,56c81a8b-a2f9-4a4e-a4fb-3f52f6bbb2d0,4695358.27441406,9110.72072390592
2932,37,119,005510,2,371190055102,Block Group 2,"Block Group 2, Census Tract 55.10, Mecklenburg County, North Carolina",162500,915,25,0,0,0,0,0,0,0,0,8,0,6,73,78,103,329,147,115,19,12,0,0,0,0,0,0,520,1265,2f6cef6b-c1eb-4d11-be1e-0a200af20939,43670281.3979492,28622.2687586766
2933,37,119,003600,1,371190036001,Block Group 1,"Block Group 1, Census Tract 36, Mecklenburg County, North Carolina",314700,255,0,0,0,0,0,0,0,0,8,7,0,0,0,22,0,9,12,0,57,85,47,8,0,0,0,0,320,1400,f45c59f2-9c21-4bfe-8603-e0bc98115c87,5002749.78210449,10854.3923486185
2934,37,119,005605,3,371190056053,Block Group 3,"Block Group 3, Census Tract 56.05, Mecklenburg County, North Carolina",125200,235,0,0,0,0,0,0,0,0,0,0,12,0,17,88,73,45,0,0,0,0,0,0,0,0,0,0,655,1073,a439ecec-fdca-4c5d-bb57-adb1d63f0c42,7815500.69458008,12552.1368416944
2935,37,119,002002,4,371190020024,Block Group 4,"Block Group 4, Census Tract 20.02, Mecklenburg County, North Carolina",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,1380,839eb533-403d-492f-8597-7a864cc5d117,6073022.02069092,10829.3617031134
2936,37,119,001200,3,371190012003,Block Group 3,"Block Group 3, Census Tract 12, Mecklenburg County, North Carolina",445800,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,33,159,213,143,24,57,0,0,94,2538,aa9f138a-9536-4cf9-a5ac-a3d2d884548c,22797516.8279419,22242.7345222327
2937,37,119,006406,1,371190064061,Block Group 1,"Block Group 1, Census Tract 64.06, Mecklenburg County, North Carolina",174200,349,0,0,0,0,0,0,0,0,0,0,0,16,49,65,0,46,23,53,66,31,0,0,0,0,0,0,373,953,bc4cf2c6-eb0a-4981-8306-65620dc20b89,17909121.2121582,19456.6006296852
2938,37,119,005524,2,371190055242,Block Group 2,"Block Group 2, Census Tract 55.24, Mecklenburg County, North Carolina",115500,67,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,13,0,0,0,0,0,0,0,0,0,0,560,1182,727cbc40-0ab6-4c7b-82c3-806f5a29a8d4,11282621.4353638,16086.4679638222
